CustomerID,OrderDate,Product,Quantity
C101,02-01-2024,Laptop,2
C102,05-01-2024,Mouse,5
C101,08-01-2024,Keyboard,3
C103,10-01-2024,Laptop,1
C104,12-01-2024,Monitor,2
C102,15-01-2024,Mouse,4
C105,18-01-2024,Keyboard,2
C101,20-01-2024,Monitor,1
C103,22-01-2024,Laptop,2
C104,25-01-2024,Mouse,3
C102,27-01-2024,Keyboard,2
C105,29-01-2024,Monitor,4
C101,01-02-2024,Laptop,3
C103,03-02-2024,Mouse,2
C104,05-02-2024,Keyboard,1
C105,08-02-2024,Laptop,2
C102,10-02-2024,Monitor,5
C101,12-02-2024,Mouse,4
C103,15-02-2024,Keyboard,3
C105,18-02-2024,Laptop,1
