PropertyID,Location,Bedrooms,Area,ListingPrice
P101,Chennai,3,1200,4500000
P102,Bangalore,5,2200,8500000
P103,Hyderabad,4,1800,6200000
P104,Chennai,2,1000,3800000
P105,Bangalore,6,2800,9800000
P106,Hyderabad,5,2400,7900000
P107,Chennai,4,1700,5600000
P108,Bangalore,3,1500,5200000
P109,Hyderabad,2,1100,4100000
P110,Chennai,5,2600,9000000
P111,Bangalore,4,1900,6800000
P112,Hyderabad,6,3000,11000000
P113,Chennai,3,1400,5000000
P114,Bangalore,5,2500,9200000
P115,Hyderabad,4,2000,7100000
P116,Chennai,6,3200,12000000
P117,Bangalore,2,1300,4300000
P118,Hyderabad,5,2700,9500000
P119,Chennai,4,2100,7300000
P120,Bangalore,3,1600,5800000
